flow id,protocol,src ip,dst ip,src port,dst port,flow idle time max,flow idle time min,flow idle time mean,flow idle time std,flow idle time variance,flow active time max,flow active time min,flow active time mean,flow active time std,flow active time variance,flow IAT max,fw IAT max,bw IAT max,flow IAT min,fw IAT min,bw IAT min,flow IAT mean,fw IAT mean,bw IAT std,flow IAT std,fw IAT std,bw IAT std.1,flow IAT tot,fw iAT tot,bw IAT tot,flow iec104 packts/s,fw iec104 packts/s,bw iec104 packts/s,flow iec104 bytes/s,fw iec104 bytes/s,bw iec104 bytes/s,flow packet APDU length max,flow packet APDU length min,flow packet APDU length mean,flow packet APDU length std,flow packet APDU length var,fw packet APDU length max,fw packet APDU length min,fw packet APDU length mean,fw packet APDU length std,fw packet APDU length var,bw packet APDU length max,bw packet APDU length min,bw packet APDU length mean,bw packet APDU length std,bw packet APDU length var,total flow packets,total fw packets,total bw packets,flow packets APDU total length,fw packets APDU total length,bw packets APDU total length,flow duration,flow down/up ratio,flow total IEC104_I_Message_SeqIOA packets,fw total IEC104_I_Message_SeqIOA packets,bw total IEC104_I_Message_SeqIOA packets,flow total IEC104_I_Message_SingleIOA packets,fw total IEC104_I_Message_SingleIOA packets,bw total IEC104_I_Message_SingleIOA packets,flow total IEC104_S_Message packets,fw total IEC104_S_Message packets,bw total IEC104_S_Message packets,flow total IEC104_U_Message packets,fw total IEC104_U_Message packets,bw total IEC104_U_Message packets,fw URG flag amount,fw PSH flag amount,bw URG flag amount,bw PSH flag amount,flow SYN flag count,flow RST flag count,flow PSH flag count,flow ACK flag count,flow URG flag count,flow CWE flag count,flow ECE flag count,fw_subflow_packets,bw_subflow_packets,fw_subflow_bytes,bw_subflow_bytes,flow start timestamp,fw avg bytes/bulk,bw avg bytes/bulk,fw avg bulk rate,bw avg bulk rate,fw avg packets/bulk,bw avg packets/bulk,init fw window bytes,init bw window bytes,fw TCP total header length,bw TCP total header length,cot=1,cot=2,cot=3,cot=4,cot=5,cot=6,cot=7,cot=8,cot=9,cot=10,cot=11,cot=12,cot=13,cot=20,type_id_process_information_in_monitor_direction,type_id_process_information_in_control_direction,type_id_system_information_in_monitor_direction,type_id_system_information_in_control_direction,type_id_parameter_in_control_direction,type_id_file_transfer,Label
192.168.1.20_192.168.1.19_50050_2404_IEC60870-5-104,IEC-60870-5-104,192.168.1.20,192.168.1.19,50050,2404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.515315055847168,2.515315055847168,2.2817270755767822,1.6927719116210938e-05,0.003476142883300781,1.6927719116210938e-05,0.4468381529423728,0.18235916606450486,0.5214996851232063,0.4956184840213586,0.4538868928535463,0.4821050198544356,119.75262498855592,10.759190797805786,108.99343419075012,2.2462973149603145,0.5010328583554605,1.7452644566048543,26.354328349497226,2.0876369098144187,24.26669143968281,14,4,11.732342007434944,4.195203651032837,17.59973367363924,14,4,4.166666666666667,1.2909944487358054,1.6666666666666663,14,4,13.904306220095696,0.975877623756003,0.9523371365476628,269,60,209,3156,250,2906,119.75262500135807,3.4833333333333334,0,0,0,208,1,207,59,58,1,2,1,1,0,60,0,209,0,0,269,269,0,0,0,0,44,0,616,04/25/2020 00:32:44,0.0,55.64285714285714,0.0,49.44777813169157,0.0,4.0,16425,255,1200,4180,0,0,206,0,0,1,1,0,0,0,0,0,0,0,206,0,0,2,0,0,m_sp_na_1_DoS
192.168.1.19_192.168.1.20_2404_50050_IEC60870-5-104,IEC-60870-5-104,192.168.1.19,192.168.1.20,2404,50050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0708820819854736,3.0708820819854736,2.1256649494171143,1.9073486328125e-05,1.9073486328125e-05,0.003413915634155273,0.4967536211013794,0.5950631940687025,0.16607596657492898,0.5789206339209965,0.5929476247718379,0.3753156956637959,119.22086906433105,110.08669090270996,9.134178161621094,2.021458171798671,1.5601295433798872,0.4613286284187837,23.687128120993556,21.841813607318414,1.8453145136751352,14,4,11.717842323651452,4.205558463712191,17.686721991701244,14,14,14.0,0.0,0.0,4,4,4.0,0.0,0.0,241,186,55,2824,2604,220,119.22086905491638,0.2956989247311828,0,0,0,186,186,0,55,0,55,0,0,0,0,186,0,55,0,0,241,241,0,0,0,38,0,532,0,04/25/2020 00:34:46,56.60869565217392,0.0,48.68706285645651,0.0,4.043478260869565,0.0,255,16373,3720,1100,0,0,186,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,m_sp_na_1_DoS
192.168.1.19_192.168.1.20_2404_50050_IEC60870-5-104,IEC-60870-5-104,192.168.1.19,192.168.1.20,2404,50050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5296380519866943,2.5296380519866943,1.9530489444732664,1.7881393432617188e-05,1.7881393432617188e-05,0.0035600662231445312,0.4980359961589178,0.5903092506139175,0.19485244580677571,0.5744010489439029,0.5930031724615751,0.37630276982840666,119.52863907814026,108.61690211296082,10.911736965179443,2.01625319325592,1.5477462271881544,0.4685069660677656,23.60940461148633,21.65171478898888,1.9576898224974493,22,4,11.70954356846473,4.281582675538203,18.33195020746888,22,4,13.989189189189188,0.9440269270592476,0.891186839012926,14,4,4.178571428571429,1.336306209562122,1.7857142857142858,241,185,56,2822,2588,234,119.52863896563721,0.3027027027027027,0,0,0,185,184,1,56,1,55,0,0,0,0,185,0,56,0,0,241,241,0,0,0,56,0,784,0,04/25/2020 00:36:46,57.85714285714285,0.0,53.32216157246923,0.0,4.142857142857143,0.0,253,16081,3700,1120,0,0,182,0,0,1,1,0,0,0,0,0,0,1,183,0,0,2,0,0,m_sp_na_1_DoS
192.168.1.19_192.168.1.20_2404_50050_IEC60870-5-104,IEC-60870-5-104,192.168.1.19,192.168.1.20,2404,50050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.218035936355591,2.218035936355591,1.9991631507873533,1.6927719116210938e-05,1.6927719116210938e-05,0.0034530162811279297,0.4590129422958783,0.5587422272254681,0.1099604450423142,0.5093225408225779,0.513108504163296,0.3014066951832273,119.80237793922424,113.42467212677002,6.377705812454224,2.1869348880136013,1.702804263949522,0.4841306240640797,25.775782191549624,23.839259695293304,1.9365224962563183,14,4,11.786259541984732,4.159663325581566,17.302798982188293,14,14,14.0,0.0,0.0,4,4,4.0,0.0,0.0,262,204,58,3088,2856,232,119.80237794732668,0.2843137254901961,0,0,0,204,204,0,58,0,58,0,0,0,0,204,0,58,0,0,262,262,0,0,0,40,0,560,0,04/25/2020 00:38:46,56.0,0.0,47.68492474182428,0.0,4.0,0.0,252,16357,4080,1160,0,0,204,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,m_sp_na_1_DoS
192.168.1.19_192.168.1.20_2404_50050_IEC60870-5-104,IEC-60870-5-104,192.168.1.19,192.168.1.20,2404,50050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.358203172683716,2.358203172683716,1.313546895980835,1.6927719116210938e-05,1.6927719116210938e-05,0.003352165222167969,0.4825510440334197,0.5672646297692018,0.1852833704514937,0.5161696353526746,0.5318550031018845,0.3118701507552352,119.67265892028809,109.48207354545592,10.190585374832152,2.080675754425449,1.621088740395732,0.4595870140297178,24.53359042165912,22.695242365540253,1.8383480561188712,14,4,11.791164658634536,4.156776706742099,17.278792589713692,14,14,14.0,0.0,0.0,4,4,4.0,0.0,0.0,249,194,55,2936,2716,220,119.6726589764862,0.28350515463917525,0,0,0,194,194,0,55,0,55,0,0,0,0,194,0,55,0,0,249,249,0,0,0,46,0,644,0,04/25/2020 00:40:46,56.0,0.0,50.0282444362156,0.0,4.0,0.0,251,16377,3880,1100,0,0,194,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,m_sp_na_1_DoS
192.168.1.19_192.168.1.20_2404_50050_IEC60870-5-104,IEC-60870-5-104,192.168.1.19,192.168.1.20,2404,50050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.966912031173706,1.966912031173706,1.812695026397705,1.6927719116210938e-05,1.6927719116210938e-05,0.002871990203857422,0.4491609544789745,0.5227196891133378,0.20594255770406414,0.4510814861284148,0.4605092304876593,0.315847545799033,119.92597484588623,107.15753626823424,12.768438577651978,2.2347118720761574,1.7177262897301808,0.5169855823459768,26.18281820268334,24.03149110195331,2.1513271007300334,22,4,11.71641791044776,4.2692383523693,18.226396109340936,22,4,13.990291262135925,0.8943742396816916,0.7999052806062041,14,4,4.161290322580645,1.2700012700019052,1.612903225806452,268,206,62,3140,2882,258,119.92597495399477,0.3009708737864077,0,0,0,206,205,1,62,1,61,0,0,0,0,206,0,62,0,0,268,268,0,0,0,54,0,756,0,04/25/2020 00:42:47,57.1,0.0,46.021434866129205,0.0,4.05,0.0,255,16285,4120,1240,0,0,203,0,0,1,1,0,0,0,0,0,0,1,204,0,0,2,0,0,m_sp_na_1_DoS
192.168.1.19_192.168.1.20_2404_50050_IEC60870-5-104,IEC-60870-5-104,192.168.1.19,192.168.1.20,2404,50050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07658290863037,2.07658290863037,1.6102662086486816,1.9073486328125e-05,1.9073486328125e-05,0.003087043762207031,0.4451175471663919,0.4982548115345148,0.2639281866980381,0.44406197809420905,0.4537008228628666,0.3570129191242775,119.7366201877594,103.63700079917908,16.099619388580322,2.254949236422654,1.7454977422679063,0.5094514941547479,26.474774368369694,24.436968391750693,2.0378059766189915,14,4,11.74074074074074,4.189672136231509,17.55335260911469,14,14,14.0,0.0,0.0,4,4,4.0,0.0,0.0,270,209,61,3170,2926,244,119.7366200705872,0.29186602870813394,0,0,0,209,209,0,61,0,61,0,0,0,0,209,0,61,0,0,270,270,0,0,0,48,0,672,0,04/25/2020 00:44:48,57.21739130434783,0.0,48.28817679402319,0.0,4.086956521739131,0.0,254,16209,4180,1220,0,0,209,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,m_sp_na_1_DoS
192.168.1.19_192.168.1.20_2404_50050_IEC60870-5-104,IEC-60870-5-104,192.168.1.19,192.168.1.20,2404,50050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0223741531372066,1.8870329856872559,2.0223741531372066,1.6927719116210938e-05,1.6927719116210938e-05,0.003462076187133789,0.4833634716849173,0.5483930706977844,0.2796040614446004,0.4914744587927006,0.4920434591633076,0.4337866751608401,119.8741409778595,103.09789729118349,16.776243686676025,2.077178598615192,1.5766536350934592,0.500524963521733,24.07525074539536,22.073150891308423,2.002099854086932,14,4,11.590361445783133,4.285297853289873,18.363777691410803,14,14,14.0,0.0,0.0,4,4,4.0,0.0,0.0,249,189,60,2886,2646,240,119.87414089765929,0.31746031746031744,0,0,0,189,189,0,60,0,60,0,0,0,0,189,0,60,0,0,249,249,0,0,0,52,0,728,0,04/25/2020 00:46:49,56.0,0.0,43.286121572782676,0.0,4.0,0.0,252,16197,3780,1200,0,0,189,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,m_sp_na_1_DoS
192.168.1.19_192.168.1.20_2404_50050_IEC60870-5-104,IEC-60870-5-104,192.168.1.19,192.168.1.20,2404,50050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1999759674072266,2.1999759674072266,1.7347321510314941,1.5974044799804688e-05,1.5974044799804688e-05,0.0023300647735595703,0.4490978048088845,0.5049261651388028,0.2645040327502835,0.4572466837685197,0.4664736038227268,0.3726802187353016,119.90911388397215,103.50986385345459,16.399250030517578,2.2350261063293995,1.7179678279994646,0.5170582783299358,26.186499902516108,24.034870292691537,2.151629609824572,22,4,11.71641791044776,4.2692383523693,18.226396109340936,22,4,13.990291262135925,0.8943742396816916,0.7999052806062041,14,4,4.161290322580645,1.2700012700019052,1.612903225806452,268,206,62,3140,2882,258,119.90911392088316,0.3009708737864077,0,0,0,206,205,1,62,1,61,0,0,0,0,206,0,62,0,0,268,268,0,0,0,42,0,588,0,04/25/2020 00:48:50,57.0,0.0,53.54083380925185,0.0,4.045454545454546,0.0,251,16089,4120,1240,0,0,203,0,0,1,1,0,0,0,0,0,0,1,204,0,0,2,0,0,m_sp_na_1_DoS
192.168.1.19_192.168.1.20_2404_50050_IEC60870-5-104,IEC-60870-5-104,192.168.1.19,192.168.1.20,2404,50050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.453031063079834,1.453031063079834,1.126466989517212,2.408027648925781e-05,2.408027648925781e-05,0.0032858848571777344,0.4188128884855684,0.4705734113315204,0.23926857486367226,0.3874065152755023,0.3941540218048949,0.3029488801693073,119.78048610687256,104.46729731559752,15.313188791275024,2.3960497200249846,1.8617389810647087,0.5343107389602753,28.201588690747034,26.06434573490593,2.137242955841101,14,4,11.770034843205574,4.169830998760293,17.387490558222265,14,14,14.0,0.0,0.0,4,4,4.0,0.0,0.0,287,223,64,3378,3122,256,119.78048602305599,0.2869955156950673,0,0,0,223,223,0,64,0,64,0,0,0,0,223,0,64,0,0,287,287,0,0,0,18,0,252,0,04/25/2020 00:50:50,56.0,0.0,69.49127890868226,0.0,4.0,0.0,255,16137,4460,1280,0,0,223,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,m_sp_na_1_DoS
