Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.20-192.168.1.22-50051-2404-6,192.168.1.20,50051,192.168.1.22,2404,6,25/04/2020 12:32:54 AM,118990481,56,197,346.0,4538.0,16.0,6.0,6.178571428571429,1.3363062095621223,40.0,6.0,23.035532994923855,8.267452556912168,41.04530008581105,2.126220499940663,472184.4484126985,515643.8776315508,2365713.0,20.0,116810788.0,2123832.5090909093,602634.4907438864,4432004.0,10306.0,118990481.0,607094.2908163267,531372.8759609658,2370195.0,215.0,0,1,0,0,1120,3940,0.4706258814097911,1.655594618530872,6.0,40.0,19.251968503937004,10.149451204180432,103.01135974603966,0,0,0,1,1,0,0,0,3.0,19.32806324110672,6.178571428571429,23.03553299492386,0,0,0,0,0,0,56,346,197,4538,-1,255,56,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m_sp_na_1_DoS
192.168.1.20-192.168.1.22-50051-2404-6,192.168.1.20,50051,192.168.1.22,2404,6,25/04/2020 12:34:55 AM,119599365,57,195,342.0,4512.0,6.0,6.0,6.0,0.0,32.0,16.0,23.138461538461556,7.973946473560242,40.58549976415009,2.1070345983860364,476491.4940239042,523804.76399992686,2427148.0,16.0,118266494.0,2111901.6785714286,506818.4256952242,3503692.0,1198440.0,119599365.0,616491.5721649487,549472.1938657071,2427148.0,3837.0,0,1,0,0,1140,3900,0.4765911591587464,1.6304434392272902,6.0,32.0,19.249011857707497,10.020081474212617,100.40203274985883,0,0,0,1,1,0,0,0,3.0,19.325396825396822,6.0,23.138461538461538,0,0,0,0,0,0,57,342,195,4512,-1,253,57,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m_sp_na_1_DoS
192.168.1.20-192.168.1.22-50051-2404-6,192.168.1.20,50051,192.168.1.22,2404,6,25/04/2020 12:36:56 AM,119379541,55,179,340.0,3998.0,16.0,6.0,6.1818181818181825,1.3483997249264843,40.0,6.0,22.335195530726253,8.006980195028296,36.337884730181706,1.9601348609641585,512358.5450643777,580287.6047266227,2108974.0,17.0,118106969.0,2187166.0925925933,679771.8327781857,4359544.0,105752.0,119379541.0,670671.5786516855,613007.8229131682,2119727.0,3761.0,0,1,0,0,1100,3580,0.4607154587736269,1.4994194021905312,6.0,40.0,18.527659574468085,9.804623497865547,96.13064193489728,0,0,0,1,1,0,0,0,3.0,18.60683760683761,6.181818181818183,22.335195530726253,0,0,0,0,0,0,55,340,179,3998,-1,252,55,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m_sp_na_1_DoS
192.168.1.20-192.168.1.22-50051-2404-6,192.168.1.20,50051,192.168.1.22,2404,6,25/04/2020 12:38:56 AM,119805745,58,203,348.0,4678.0,6.0,6.0,6.0,0.0,32.0,6.0,23.04433497536945,8.042769640565147,41.95124365697154,2.1785265806744074,460791.3269230768,463893.33727713797,1725495.0,17.0,116283523.0,2040061.8070175431,558050.2136086486,3442317.0,1137715.0,119805745.0,593097.7475247522,486055.9105253095,1729341.0,3667.0,0,1,0,0,1160,4060,0.4841170179276461,1.6944095627467617,6.0,32.0,19.206106870229,10.047181841013394,100.94586294638931,0,0,0,1,1,0,0,0,3.0,19.27969348659004,6.0,23.044334975369463,0,0,0,0,0,0,58,348,203,4678,-1,251,58,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m_sp_na_1_DoS
192.168.1.20-192.168.1.22-50051-2404-6,192.168.1.20,50051,192.168.1.22,2404,6,25/04/2020 12:40:56 AM,119882373,58,196,348.0,4566.0,6.0,6.0,6.0,0.0,32.0,6.0,23.295918367346932,8.07237668262095,40.990179598797226,2.118743512025742,473843.371541502,466766.76034289773,1930398.0,18.0,117000941.0,2052648.0877192984,468121.0935942018,3037823.0,1069290.0,119882373.0,614781.3999999999,488764.1123251414,1930398.0,66.0,0,1,0,0,1160,3920,0.4838075736121773,1.6349359384135649,6.0,32.0,19.294117647058822,10.170387223961402,103.43677628531731,0,0,0,1,1,0,0,0,3.0,19.37007874015748,6.0,23.29591836734694,0,0,0,0,0,0,58,348,196,4566,-1,255,58,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m_sp_na_1_DoS
192.168.1.20-192.168.1.22-50051-2404-6,192.168.1.20,50051,192.168.1.22,2404,6,25/04/2020 12:42:56 AM,119907433,61,204,382.0,4702.0,22.0,6.0,6.2622950819672125,2.048590078926336,40.0,6.0,23.049019607843146,8.101422913370744,42.39937318981718,2.2100381383362606,454194.8219696968,438752.2730452952,1635221.0,20.0,119001146.0,1983352.433333333,379581.4504355085,2979687.0,1091506.0,119281308.0,587592.6502463053,466611.21969472687,1635221.0,3772.0,0,1,0,0,1220,4080,0.5087257601453281,1.7013123781909334,6.0,40.0,19.23308270676691,10.088579171832937,101.77942970634138,0,0,0,1,1,0,0,0,3.0,19.30566037735849,6.262295081967213,23.049019607843146,0,0,0,0,0,0,61,382,204,4702,-1,254,61,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m_sp_na_1_DoS
192.168.1.20-192.168.1.22-50051-2404-6,192.168.1.20,50051,192.168.1.22,2404,6,25/04/2020 12:44:56 AM,118757111,58,198,348.0,4704.0,6.0,6.0,6.0,0.0,32.0,16.0,23.757575757575765,8.016595615392426,42.54061047342253,2.1556603882019325,465714.1607843136,433153.2451056835,1650623.0,24.0,117385656.0,2059397.4736842103,472519.8228986615,3433966.0,1146180.0,118757111.0,602827.9746192892,472079.8917276893,1650623.0,3555.0,0,1,0,0,1160,3960,0.4883918067020004,1.6672685814999324,6.0,32.0,19.719844357976648,10.235475378587983,104.76495622568086,0,0,0,1,1,0,0,0,3.0,19.796875,6.0,23.75757575757576,0,0,0,0,0,0,58,348,198,4704,-1,252,58,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m_sp_na_1_DoS
192.168.1.20-192.168.1.22-50051-2404-6,192.168.1.20,50051,192.168.1.22,2404,6,25/04/2020 12:46:56 AM,119601576,59,201,354.0,4656.0,6.0,6.0,6.0,0.0,32.0,16.0,23.16417910447761,7.976083653508232,41.889080123827135,2.1738843976437234,461782.14671814657,439725.9222754047,1679056.0,17.0,118010171.0,2034658.1206896557,382988.7867689793,3155997.0,1464639.0,119601576.0,598007.8799999995,467231.76529344794,1679056.0,3703.0,0,1,0,0,1180,4020,0.4933045363883834,1.68057986125534,6.0,32.0,19.25670498084289,10.03298421099194,100.66077217801352,0,0,0,1,1,0,0,0,3.0,19.33076923076923,6.0,23.16417910447761,0,0,0,0,0,0,59,354,201,4656,-1,251,59,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m_sp_na_1_DoS
192.168.1.20-192.168.1.22-50051-2404-6,192.168.1.20,50051,192.168.1.22,2404,6,25/04/2020 12:48:57 AM,119963326,62,208,382.0,4836.0,16.0,6.0,6.161290322580648,1.2700012700019054,88.0,6.0,23.25,9.259281803515233,43.49662662737444,2.2506878477177272,445960.3197026025,450714.5904045063,1804016.0,26.0,117814609.0,1931387.032786885,615164.7362816989,3324898.0,572166.0,119963326.0,579532.9758454105,458217.65425438655,1804016.0,3541.0,0,1,0,0,1240,4160,0.5168246168833298,1.7338632308343969,6.0,88.0,19.276752767527665,10.881558225568043,118.40830941642751,0,0,0,1,1,0,0,0,3.0,19.348148148148148,6.161290322580645,23.25,0,0,0,0,0,0,62,382,208,4836,-1,255,62,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m_sp_na_1_DoS
192.168.1.20-192.168.1.22-50051-2404-6,192.168.1.20,50051,192.168.1.22,2404,6,25/04/2020 12:50:57 AM,119984740,68,244,414.0,5792.0,12.0,6.0,6.0882352941176485,0.7276068751089989,32.0,16.0,23.73770491803279,8.01213408857522,51.72324413921304,2.60033067538422,385803.0225080385,313446.1775636667,995525.0,20.0,119582194.0,1784808.865671642,651849.1431469795,3960160.0,478865.0,119984740.0,493764.3621399175,303566.1510763449,995525.0,3792.0,0,1,0,0,1360,4880,0.5667387369427146,2.0335919384415053,6.0,32.0,19.929712460063907,10.182069092615674,103.67453100679936,0,0,0,1,1,0,0,0,3.0,19.993589743589748,6.088235294117648,23.73770491803279,0,0,0,0,0,0,68,414,244,5792,-1,253,68,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m_sp_na_1_DoS
