Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.20-192.168.1.21-50045-2404-6,192.168.1.20,50045,192.168.1.21,2404,6,25/04/2020 12:32:07 AM,119795396,65,251,400.0,5738.0,16.0,6.0,6.153846153846155,1.240347345892085,88.0,6.0,22.860557768924327,9.178696971120106,51.23736140911459,2.6378309229847203,380302.8444444445,365289.5870645479,1802861.0,330.0,118273023.0,1848015.9843749998,380714.77763157967,2570270.0,203502.0,119795396.0,479181.5840000002,360792.04368948255,1802861.0,954.0,0,1,0,0,1300,5020,0.5425918037785025,2.0952391192062167,6.0,88.0,19.381703470031553,10.63651667428884,113.13548696242455,0,0,0,1,1,0,0,0,3.0,19.44303797468355,6.153846153846153,22.860557768924302,0,0,0,0,0,0,65,400,251,5738,-1,255,65,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m_sp_na_1_DoS
192.168.1.20-192.168.1.24-50046-2404-6,192.168.1.20,50046,192.168.1.24,2404,6,25/04/2020 12:32:16 AM,119671092,63,245,388.0,5786.0,16.0,6.0,6.15873015873016,1.2598815766974245,40.0,6.0,23.61632653061224,8.252156870036764,51.59140688713696,2.573720978496628,389808.11726384354,326498.79133667017,999523.0,244.0,117662254.0,1897778.2903225804,300549.0169385586,2333862.0,213087.0,119670663.0,490453.5368852457,298929.77546716656,1297908.0,784.0,0,1,0,0,1260,4900,0.5264429274197648,2.047278051076863,6.0,40.0,19.999999999999996,10.222206537411894,104.49350649350644,0,0,0,1,1,0,0,0,3.0,20.064935064935067,6.158730158730159,23.616326530612245,0,0,0,0,0,0,63,388,245,5786,-1,255,63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m_sp_na_1_DoS
192.168.1.20-192.168.1.25-50047-2404-6,192.168.1.20,50047,192.168.1.25,2404,6,25/04/2020 12:32:22 AM,119635976,67,252,412.0,5786.0,16.0,6.0,6.1492537313432845,1.2216944435630526,56.0,6.0,22.960317460317448,8.342184637151794,51.80715874295203,2.6664220133916907,376213.7610062892,344611.48231817904,1295694.0,269.0,117984472.0,1787643.5151515154,347144.1647804927,2022857.0,210457.0,119635585.0,476635.796812749,323046.2589105693,1295694.0,415.0,0,1,0,0,1340,5040,0.5600322097092266,2.106389803682464,6.0,56.0,19.387500000000006,10.125226883173369,102.52021943573672,0,0,0,1,1,0,0,0,3.0,19.448275862068964,6.149253731343284,22.96031746031746,0,0,0,0,0,0,67,412,252,5786,-1,255,67,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m_sp_na_1_DoS
192.168.1.20-192.168.1.26-50048-2404-6,192.168.1.20,50048,192.168.1.26,2404,6,25/04/2020 12:32:30 AM,119275823,60,243,370.0,5690.0,16.0,6.0,6.166666666666668,1.2909944487358058,48.0,6.0,23.415637860082317,8.36981505372741,50.80660814220498,2.540330407110249,394953.0562913909,339289.0596410476,1298269.0,191.0,116476469.0,1974177.4406779662,314078.5891154759,2510743.0,237047.0,119275823.0,492875.3016528927,311410.1094341219,1298269.0,4380.0,0,1,0,0,1200,4860,0.5030357241802473,2.0372946829300016,6.0,48.0,19.95394736842105,10.206345541737884,104.16948931735284,0,0,0,1,1,0,0,0,4.0,20.019801980198014,6.166666666666668,23.415637860082306,0,0,0,0,0,0,60,370,243,5690,-1,255,60,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m_sp_na_1_DoS
192.168.1.13-192.168.1.20-2404-50049-6,192.168.1.20,50049,192.168.1.13,2404,6,25/04/2020 12:32:39 AM,118727925,58,200,358.0,4586.0,16.0,6.0,6.172413793103449,1.313064328597226,40.0,6.0,22.93,8.249568284729941,41.641425132293016,2.173035534816261,461976.3618677046,519700.9443234943,2361351.0,285.0,116235133.0,2039212.859649123,641328.9281926753,4437802.0,355505.0,118727925.0,596622.738693467,537230.9489108183,2361351.0,3434.0,0,1,0,0,1160,4000,0.4885118644160588,1.6845236704002031,6.0,40.0,19.11196911196912,10.12322391269892,102.47966238663919,0,0,0,1,1,0,0,0,3.0,19.186046511627904,6.172413793103447,22.93,0,0,0,0,0,0,58,358,200,4586,-1,255,58,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m_sp_na_1_DoS
192.168.1.19-192.168.1.20-2404-50050-6,192.168.1.20,50050,192.168.1.19,2404,6,25/04/2020 12:32:44 AM,119756912,59,210,364.0,4826.0,16.0,6.0,6.169491525423731,1.301889109808239,56.0,6.0,22.980952380952374,8.604528631147017,43.33779080743164,2.2462169031212156,446854.1492537313,496352.2935635513,2510078.0,259.0,116198447.0,2003421.4999999998,665751.9368231144,3908680.0,206968.0,119756912.0,572999.5789473685,534953.5473738896,2560653.0,3571.0,0,1,0,0,1180,4200,0.4926646739187797,1.7535522292024364,6.0,56.0,19.24444444444444,10.341001272170336,106.93630731102851,0,0,0,1,1,0,0,0,3.0,19.31598513011152,6.169491525423728,22.980952380952377,0,0,0,0,0,0,59,364,210,4826,-1,255,59,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m_sp_na_1_DoS
192.168.1.20-192.168.1.22-50051-2404-6,192.168.1.20,50051,192.168.1.22,2404,6,25/04/2020 12:32:53 AM,118995114,56,197,346.0,4538.0,16.0,6.0,6.178571428571429,1.3363062095621223,40.0,6.0,23.035532994923855,8.267452556912168,41.04370201284063,2.126137716881384,472202.8333333335,516753.9513294596,2369507.0,226.0,116810436.0,2123826.109090909,602700.3559263638,4432257.0,11901.0,118995114.0,607117.9285714284,531285.428748509,2369872.0,3259.0,0,1,0,0,1120,3940,0.4706075578867885,1.6555301589945954,6.0,40.0,19.251968503937004,10.149451204180432,103.01135974603966,0,0,0,1,1,0,0,0,3.0,19.32806324110672,6.178571428571429,23.03553299492386,0,0,0,0,0,0,56,346,197,4538,-1,255,56,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m_sp_na_1_DoS
192.168.1.20-192.168.1.21-50045-2404-6,192.168.1.20,50045,192.168.1.21,2404,6,25/04/2020 12:34:07 AM,119984596,60,240,360.0,5728.0,6.0,6.0,6.0,0.0,32.0,16.0,23.86666666666667,8.015605420989294,50.739846638313466,2.500320957866958,401286.27424749156,344005.5654482461,1302692.0,160.0,117750762.0,1995775.627118644,194417.51472246155,2516518.0,1249835.0,119984596.0,502027.59832635976,313884.9646774179,1303813.0,1827.0,0,1,0,0,1200,4800,0.5000641915733917,2.000256766293566,6.0,32.0,20.279069767441854,10.115426855309481,102.32186046511622,0,0,0,1,1,0,0,0,4.0,20.346666666666668,6.0,23.86666666666667,0,0,0,0,0,0,60,360,240,5728,-1,253,60,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m_sp_na_1_DoS
192.168.1.20-192.168.1.24-50046-2404-6,192.168.1.20,50046,192.168.1.24,2404,6,25/04/2020 12:34:16 AM,119718920,61,244,366.0,5712.0,6.0,6.0,6.0,0.0,32.0,16.0,23.40983606557378,7.994601160135533,50.768917728292244,2.547634074881397,393812.23684210534,331000.7439648292,1282106.0,219.0,117343803.0,1955730.05,197242.5343384425,2358862.0,1202680.0,119718920.0,492670.4526748972,303757.5357428401,1298090.0,1332.0,0,1,0,0,1220,4880,0.5095268149762795,2.038107259905118,6.0,32.0,19.915032679738555,9.973372885851603,99.46816672023995,0,0,0,1,1,0,0,0,4.0,19.98032786885246,6.0,23.409836065573767,0,0,0,0,0,0,61,366,244,5712,-1,253,61,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m_sp_na_1_DoS
192.168.1.20-192.168.1.25-50047-2404-6,192.168.1.20,50047,192.168.1.25,2404,6,25/04/2020 12:34:23 AM,119744240,65,249,390.0,5760.0,6.0,6.0,6.0,0.0,32.0,16.0,23.132530120481924,7.968847233694979,51.359464137899245,2.6222555673659125,382569.45686900953,335941.57291757193,1294185.0,179.0,118539577.0,1852180.8906250002,291457.1666349836,2463876.0,1204268.0,119704723.0,482680.3346774194,308549.1140371173,1294628.0,963.0,0,1,0,0,1300,4980,0.5428236047095042,2.0794319626564084,6.0,32.0,19.574603174603173,9.918617382554816,98.37897078151848,0,0,0,1,1,0,0,0,3.0,19.636942675159236,6.0,23.13253012048193,0,0,0,0,0,0,65,390,249,5760,-1,253,65,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m_sp_na_1_DoS
