flow id,protocol,src ip,dst ip,src port,dst port,flow idle time max,flow idle time min,flow idle time mean,flow idle time std,flow idle time variance,flow active time max,flow active time min,flow active time mean,flow active time std,flow active time variance,flow IAT max,fw IAT max,bw IAT max,flow IAT min,fw IAT min,bw IAT min,flow IAT mean,fw IAT mean,bw IAT std,flow IAT std,fw IAT std,bw IAT std.1,flow IAT tot,fw iAT tot,bw IAT tot,flow iec104 packts/s,fw iec104 packts/s,bw iec104 packts/s,flow iec104 bytes/s,fw iec104 bytes/s,bw iec104 bytes/s,flow packet APDU length max,flow packet APDU length min,flow packet APDU length mean,flow packet APDU length std,flow packet APDU length var,fw packet APDU length max,fw packet APDU length min,fw packet APDU length mean,fw packet APDU length std,fw packet APDU length var,bw packet APDU length max,bw packet APDU length min,bw packet APDU length mean,bw packet APDU length std,bw packet APDU length var,total flow packets,total fw packets,total bw packets,flow packets APDU total length,fw packets APDU total length,bw packets APDU total length,flow duration,flow down/up ratio,flow total IEC104_I_Message_SeqIOA packets,fw total IEC104_I_Message_SeqIOA packets,bw total IEC104_I_Message_SeqIOA packets,flow total IEC104_I_Message_SingleIOA packets,fw total IEC104_I_Message_SingleIOA packets,bw total IEC104_I_Message_SingleIOA packets,flow total IEC104_S_Message packets,fw total IEC104_S_Message packets,bw total IEC104_S_Message packets,flow total IEC104_U_Message packets,fw total IEC104_U_Message packets,bw total IEC104_U_Message packets,fw URG flag amount,fw PSH flag amount,bw URG flag amount,bw PSH flag amount,flow SYN flag count,flow RST flag count,flow PSH flag count,flow ACK flag count,flow URG flag count,flow CWE flag count,flow ECE flag count,fw_subflow_packets,bw_subflow_packets,fw_subflow_bytes,bw_subflow_bytes,flow start timestamp,fw avg bytes/bulk,bw avg bytes/bulk,fw avg bulk rate,bw avg bulk rate,fw avg packets/bulk,bw avg packets/bulk,init fw window bytes,init bw window bytes,fw TCP total header length,bw TCP total header length,cot=1,cot=2,cot=3,cot=4,cot=5,cot=6,cot=7,cot=8,cot=9,cot=10,cot=11,cot=12,cot=13,cot=20,type_id_process_information_in_monitor_direction,type_id_process_information_in_control_direction,type_id_system_information_in_monitor_direction,type_id_system_information_in_control_direction,type_id_parameter_in_control_direction,type_id_file_transfer,Label
192.168.1.20_192.168.1.21_50045_2404_IEC60870-5-104,IEC-60870-5-104,192.168.1.20,192.168.1.21,50045,2404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8028609752655032,0.7179660797119141,1.8028609752655032,0.0003299713134765625,0.0003299713134765625,0.00035190582275390625,0.3803028447287423,0.040052670698899485,0.4687678899765015,0.3652895788375622,0.13414799375894848,0.3543518999653785,119.79539608955385,2.603423595428467,117.19197249412537,2.637830923129532,0.5509393700207249,2.0868915531088064,31.403544091181313,2.287233142207252,29.116310948974075,22,4,11.905063291139241,4.131624800008468,17.07032348804501,14,4,4.151515151515151,1.2309149097933272,1.515151515151515,22,4,13.952,1.028556129165236,1.0579277108433736,316,66,250,3762,274,3488,119.79539599342348,3.787878787878788,0,0,0,249,1,248,65,64,1,2,1,1,0,66,0,250,0,0,316,316,0,0,0,0,24,0,336,04/25/2020 00:32:07,0.0,57.361702127659576,0.0,47.34485704109783,0.0,4.127659574468085,16425,255,1320,5000,0,0,246,0,0,1,1,0,0,0,0,0,0,1,247,0,0,2,0,0,m_sp_na_1_DoS
192.168.1.20_192.168.1.24_50046_2404_IEC60870-5-104,IEC-60870-5-104,192.168.1.20,192.168.1.24,50046,2404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995231628417968,0.8288969993591309,0.9995231628417968,0.00024390220642089844,0.00036978721618652333,0.00024390220642089844,0.3898081173725936,0.026735657737368627,0.4835522360489017,0.3264987938066099,0.11750130968994354,0.2961690737624481,119.67109203338623,1.6843464374542236,117.986745595932,2.573720976838082,0.5347991640183029,2.0389218128197797,30.667389561674547,2.222759025451071,28.44463053622348,22,4,11.915584415584414,4.125792864204784,17.02216675832311,14,4,4.15625,1.25,1.5625,22,4,13.950819672131148,1.0411489302304722,1.0839910949200566,308,64,244,3670,266,3404,119.67109207711793,3.8125,0,0,0,243,1,242,63,62,1,2,1,1,0,64,0,244,0,0,308,308,0,0,0,0,0,0,0,04/25/2020 00:32:16,0.0,56.14035087719297,0.0,44.153917797823325,0.0,4.035087719298246,16425,255,1280,4880,0,0,240,0,0,1,1,0,0,0,0,0,0,1,241,0,0,2,0,0,m_sp_na_1_DoS
192.168.1.20_192.168.1.25_50047_2404_IEC60870-5-104,IEC-60870-5-104,192.168.1.20,192.168.1.25,50047,2404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29569411277771,0.4003438949584961,1.29569411277771,0.0002689361572265625,0.0003709793090820313,0.0002689361572265625,0.3762137612456796,0.02113346199491131,0.4709961518823388,0.3446114788996501,0.056191866516479935,0.32701798458715503,119.6359760761261,1.4159419536590576,118.22003412246704,2.6664220127421276,0.5683908992679145,2.098031113474214,31.64599918571065,2.3571504940228225,29.288848691687832,14,4,11.86833855799373,4.101874943064458,16.825378048540053,14,4,4.147058823529412,1.2126781251816647,1.4705882352941173,14,4,13.9601593625498,0.6311944030978032,0.398406374501992,319,68,251,3786,282,3504,119.63597602914429,3.691176470588236,0,0,0,251,1,250,66,66,0,2,1,1,0,68,0,251,0,0,319,319,0,0,0,0,2,0,28,04/25/2020 00:32:22,0.0,56.07692307692307,0.0,41.00296111404877,0.0,4.019230769230768,16425,255,1360,5020,0,0,249,0,0,1,1,0,0,0,0,0,0,0,249,0,0,2,0,0,m_sp_na_1_DoS
192.168.1.20_192.168.1.26_50048_2404_IEC60870-5-104,IEC-60870-5-104,192.168.1.20,192.168.1.26,50048,2404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2982690334320068,0.7180778980255127,1.2982690334320068,0.00019097328186035162,0.00019097328186035162,0.0009300708770751953,0.3949530566764983,0.021189117431640626,0.4876218019438184,0.339289061094643,0.10088013801169024,0.31286165976721897,119.27582311630249,1.2713470458984375,118.00447607040405,2.540330405232509,0.5114196525385579,2.028910752693952,30.433661290409262,2.1295178974556346,28.30414339295363,22,4,11.980198019801982,4.080271217173122,16.64861320569143,14,4,4.163934426229509,1.28036879932896,1.639344262295082,22,4,13.950413223140496,1.0454504452710176,1.0929666335173691,303,61,242,3630,254,3376,119.27582308816527,3.9672131147540974,0,0,0,241,1,240,60,59,1,2,1,1,0,61,0,242,0,0,303,303,0,0,0,0,4,0,56,04/25/2020 00:32:30,0.0,57.017543859649116,0.0,46.8224424836358,0.0,4.087719298245614,16425,255,1220,4840,0,0,238,0,0,1,1,0,0,0,0,0,0,1,239,0,0,2,0,0,m_sp_na_1_DoS
192.168.1.20_192.168.1.13_50049_2404_IEC60870-5-104,IEC-60870-5-104,192.168.1.20,192.168.1.13,50049,2404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3613510131835938,2.0428910255432133,2.3613510131835938,0.00028514862060546875,0.00028514862060546875,0.003109931945800781,0.4619763611819494,0.11583551456188332,0.5628616330611645,0.5197009459319418,0.32981006036963434,0.5220785684489604,118.727924823761,6.7184598445892325,112.00946497917177,2.1730355365304597,0.4969344831600664,1.676101053370393,25.43630744310848,2.0719641162267166,23.364343326881755,22,4,11.705426356589149,4.278992391621146,18.309775887551652,14,4,4.169491525423728,1.3018891098082386,1.6949152542372878,22,4,13.93969849246231,1.1531169483243526,1.3296786965128675,258,59,199,3020,246,2774,118.72792490634158,3.3728813559322037,0,0,0,198,1,197,58,57,1,2,1,1,0,59,0,199,0,0,258,258,0,0,0,0,52,0,718,04/25/2020 00:32:39,0.0,56.21052631578947,0.0,45.442643257294634,0.0,4.052631578947368,16425,255,1180,3980,0,0,195,0,0,1,1,0,0,0,0,0,0,1,196,0,0,2,0,0,m_sp_na_1_DoS
192.168.1.20_192.168.1.19_50050_2404_IEC60870-5-104,IEC-60870-5-104,192.168.1.20,192.168.1.19,50050,2404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5100781917572017,2.5100781917572017,2.280876874923706,0.00025892257690429693,0.00025892257690429693,0.0031218528747558594,0.4468541492277117,0.17823630672390178,0.5226840664895528,0.4963522931693464,0.4539110376522328,0.4822354173864358,119.75691199302672,10.515942096710203,109.24096989631651,2.2462169049700735,0.5010149230416524,1.7452019819284228,26.353384951990925,2.087562179340218,24.26582277265069,14,4,11.732342007434944,4.195203651032837,17.59973367363924,14,4,4.166666666666667,1.2909944487358054,1.6666666666666663,14,4,13.904306220095696,0.975877623756003,0.9523371365476628,269,60,209,3156,250,2906,119.7569119014282,3.4833333333333334,0,0,0,208,1,207,59,58,1,2,1,1,0,60,0,209,0,0,269,269,0,0,0,0,44,0,616,04/25/2020 00:32:44,0.0,55.64285714285714,0.0,49.44616643839868,0.0,4.0,16425,255,1200,4180,0,0,206,0,0,1,1,0,0,0,0,0,0,0,206,0,0,2,0,0,m_sp_na_1_DoS
192.168.1.20_192.168.1.22_50051_2404_IEC60870-5-104,IEC-60870-5-104,192.168.1.20,192.168.1.22,50051,2404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3695068359375,0.9034240245819092,2.3695068359375,0.0002257823944091797,0.0002257823944091797,0.003033161163330078,0.4722028336827717,0.0850509490285601,0.5828176578696893,0.5167539437754731,0.1932776535940737,0.5271075719796933,118.99511408805849,4.762853145599365,114.23226094245909,2.1261377159004415,0.4790112640566212,1.6471264518438207,24.959007969266043,2.0000821200960677,22.95892584916998,22,4,11.73913043478261,4.258876169247322,18.138026224982745,14,4,4.175438596491228,1.3245323570650438,1.7543859649122806,22,4,13.93877551020408,1.161928781352642,1.3500784929356358,253,57,196,2970,238,2732,118.99511405490112,3.4385964912280698,0,0,0,195,1,194,56,55,1,2,1,1,0,57,0,196,0,0,253,253,0,0,0,0,42,0,588,04/25/2020 00:32:53,0.0,56.07692307692307,0.0,43.231727604771635,0.0,4.038461538461538,16425,255,1140,3920,0,0,192,0,0,1,1,0,0,0,0,0,0,1,193,0,0,2,0,0,m_sp_na_1_DoS
192.168.1.21_192.168.1.20_2404_50045_IEC60870-5-104,IEC-60870-5-104,192.168.1.21,192.168.1.20,2404,50045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.30269193649292,1.30269193649292,0.7351689338684082,0.00016021728515625,0.0010678768157958984,0.00016021728515625,0.4012862742943907,0.4956613584542374,0.02535885572433472,0.34400555327938803,0.31499774053191304,0.13289979660209528,119.98459601402284,118.46306467056273,1.521531343460083,2.5003209594495104,2.000256767559608,0.500064191889902,30.003851513394107,28.003594745834526,2.000256767559608,14,4,12.0,4.006683379765067,16.05351170568562,14,14,14.0,0.0,0.0,4,4,4.0,0.0,0.0,300,240,60,3600,3360,240,119.98459592405699,0.25,0,0,0,240,240,0,60,0,60,0,0,0,0,240,0,60,0,0,300,300,0,0,0,4,0,56,0,04/25/2020 00:34:07,56.0,0.0,46.808350891352994,0.0,4.0,0.0,255,16173,4800,1200,0,0,240,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,m_sp_na_1_DoS
192.168.1.24_192.168.1.20_2404_50046_IEC60870-5-104,IEC-60870-5-104,192.168.1.24,192.168.1.20,2404,50046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2821059226989746,1.2821059226989746,0.8591139316558838,0.00021910667419433596,0.0002357959747314453,0.00021910667419433596,0.3938122368172595,0.4874929587046306,0.02062509880691278,0.3310007339235106,0.30040646020723943,0.11031004062328034,119.7189199924469,118.46078896522522,1.2581310272216797,2.5476340748999062,2.038107259919925,0.5095268149799812,30.571608898798875,28.53350163887895,2.038107259919925,14,4,12.0,4.006573545930158,16.05263157894737,14,14,14.0,0.0,0.0,4,4,4.0,0.0,0.0,305,244,61,3660,3416,244,119.71891999913026,0.25,0,0,0,244,244,0,61,0,61,0,0,0,0,244,0,61,0,0,305,305,0,0,0,2,0,28,0,04/25/2020 00:34:16,56.24137931034482,0.0,44.782446818441905,0.0,4.017241379310345,0.0,255,16165,4880,1220,0,0,244,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,m_sp_na_1_DoS
192.168.1.25_192.168.1.20_2404_50047_IEC60870-5-104,IEC-60870-5-104,192.168.1.25,192.168.1.20,2404,50047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.294184923171997,1.294184923171997,0.2029268741607666,0.00017905235290527344,0.00017905235290527344,0.00030303001403808594,0.3825694570145287,0.4789914738747381,0.014682377301729643,0.33594157764470695,0.3115986381625555,0.04442192281166615,119.74424004554749,118.78988552093506,0.9543545246124268,2.6222555649613746,2.0794319607496243,0.5428236042117496,31.28334186734174,29.112047450494753,2.1712944168469983,14,4,11.929936305732484,4.058068363861104,16.467918845770335,14,14,14.0,0.0,0.0,4,4,4.0,0.0,0.0,314,249,65,3746,3486,260,119.74424010980223,0.2610441767068273,0,0,0,249,249,0,65,0,65,0,0,0,0,249,0,65,0,0,314,314,0,0,0,0,0,0,0,04/25/2020 00:34:23,56.0,0.0,44.719060488030465,0.0,4.0,0.0,255,16137,4980,1300,0,0,249,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,m_sp_na_1_DoS
