frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,_ws.col.Protocol,_ws.col.Info,label
1716194748.5131276,192.168.20.54,192.168.20.59,49350,502,66,Modbus/TCP,"   Query: Trans:   220; Unit:   1, Func:   3: Read Holding Registers",0
1716194748.5197885,192.168.20.54,192.168.20.59,49350,502,66,TCP,"[TCP Retransmission] 49350 → 502 [PSH, ACK] Seq=1 Ack=1 Win=508 Len=12",0
1716194748.5200174,192.168.20.59,192.168.20.54,502,49350,67,Modbus/TCP,"Response: Trans:   220; Unit:   1, Func:   3: Read Holding Registers",0
1716194748.5318131,192.168.20.59,192.168.20.54,502,49350,67,TCP,"[TCP Retransmission] 502 → 49350 [PSH, ACK] Seq=1 Ack=13 Win=92 Len=13",0
1716194748.5361586,192.168.20.54,192.168.20.59,49350,502,66,Modbus/TCP,"   Query: Trans:   221; Unit:   1, Func:   3: Read Holding Registers",0
1716194748.543818,192.168.20.54,192.168.20.59,49350,502,66,TCP,"[TCP Retransmission] 49350 → 502 [PSH, ACK] Seq=13 Ack=14 Win=508 Len=12",0
1716194748.5440168,192.168.20.59,192.168.20.54,502,49350,67,Modbus/TCP,"Response: Trans:   221; Unit:   1, Func:   3: Read Holding Registers",0
1716194748.5558147,192.168.20.59,192.168.20.54,502,49350,67,TCP,"[TCP Retransmission] 502 → 49350 [PSH, ACK] Seq=14 Ack=25 Win=92 Len=13",0
1716194748.5661764,192.168.20.54,192.168.20.59,49350,502,71,Modbus/TCP,"   Query: Trans:   222; Unit:   1, Func:  16: Write Multiple Registers",1
1716194748.5678265,192.168.20.54,192.168.20.59,49350,502,71,TCP,"[TCP Retransmission] 49350 → 502 [PSH, ACK] Seq=25 Ack=27 Win=508 Len=17",0
1716194748.5680287,192.168.20.59,192.168.20.54,502,49350,66,Modbus/TCP,"Response: Trans:   222; Unit:   1, Func:  16: Write Multiple Registers",1
1716194748.5798132,192.168.20.59,192.168.20.54,502,49350,66,TCP,"[TCP Retransmission] 502 → 49350 [PSH, ACK] Seq=27 Ack=42 Win=92 Len=12",0
1716194748.6265385,192.168.20.54,192.168.20.59,49350,502,60,TCP,49350 → 502 [ACK] Seq=42 Ack=39 Win=508 Len=0,0
1716194748.6277573,192.168.20.54,192.168.20.59,49350,502,54,TCP,[TCP Dup ACK 13#1] 49350 → 502 [ACK] Seq=42 Ack=39 Win=508 Len=0,0
1716194753.940339,192.168.20.54,192.168.20.59,49350,502,66,Modbus/TCP,"   Query: Trans:   223; Unit:   1, Func:   3: Read Holding Registers",0
1716194753.9477837,192.168.20.54,192.168.20.59,49350,502,66,TCP,"[TCP Retransmission] 49350 → 502 [PSH, ACK] Seq=42 Ack=39 Win=508 Len=12",0
1716194753.9480116,192.168.20.59,192.168.20.54,502,49350,67,Modbus/TCP,"Response: Trans:   223; Unit:   1, Func:   3: Read Holding Registers",0
1716194753.9638176,192.168.20.59,192.168.20.54,502,49350,67,TCP,"[TCP Retransmission] 502 → 49350 [PSH, ACK] Seq=39 Ack=54 Win=92 Len=13",0
